example_id,customer_message,conversation_context,retrieved_evidence,agent_reply,groundedness,helpfulness,relevance,brand_alignment,safety,overall,notes
gold_004,iOS 11.1 should never been released. So many bugs. The statusbar randomly disappears in Facebook app,Customer inbound tweet to @AppleSupport (Recorded: Sun Nov 05 19:03:30 +0000 2017),"[apple_04815] Cust: Was trying to open Facebook app And unfortunately I haven’t made any recent backup. | Agent: No worries. Move to DM with us and we'll keep working on this.
[apple_03166] Cust: Not at all... I’m on iOS 11.1.2 | Agent: Thanks for that info. Let's next be sure you've completed all the steps here: Let us know if your issues persist after doing so.
[apple_01042] Cust: So iOS 11.1 has got some bugs 😬 | Agent: We want to help. Does this happen with other apps?","We understand glitches are frustrating. Please back up your device and update to the latest iOS/macOS release. If the issue persists after restarting, send us a DM with your exact OS version.",4,4,4,5,5,4,Good empathy and actionable next steps for an OS bug report.
gold_006,Does the person you send it too also have to have a iPhone to see this?I see it on my phone.,Customer inbound tweet to @AppleSupport (Recorded: Wed Nov 01 00:01:26 +0000 2017),"[apple_02661] Cust: IPhone X please and during a phone call | Agent: The article we provided also has the steps to use with your iPhone X. If that doesn't work for you, please let us know what happens when you try those steps.
[apple_01169] Cust: why since my 7s was updated am I having trouble sending picture messages? It freezes when I try to select person to send to. | Agent: We can help with MMS. Which version of the iOS are you currently running? You can check in Settings > General > About > Version
[apple_04749] Cust: iOS 11 has wrecked my iPhone 7. Phone is slow keeps freezing. Very poor show. | Agent: Thanks for reaching out! We see your DM and we'll respond to it shortly.",Thanks for reaching out to Apple Support. How can we help you today? Please reply with more details about your device and question so we can assist.,3,2,2,4,4,2,Intent misclassified as other; canned greeting fails to address compatibility inquiry.
gold_012,My MacPro is burning up while in sleep mode. Reliably returning to a computer thats been overheating for hours. Who pays when something burns out on a super expensive machine due to a glitch?! #Apple #MacPro,Customer inbound tweet to @AppleSupport (Recorded: Sun Nov 26 00:29:49 +0000 2017),"[apple_03993] Cust: what’s with this glitch?? | Agent: Thanks for reaching out. Could you let us know more details about the particular issue you’re facing? We’ll move from there.
[apple_01680] Cust: And this is what happens when I try to start the computer in recovery mode or, well, any other mode. | Agent: We're here to help. First, let's try an SMC reset: If that doesn't help, DM us more info using the following link, including the model of computer and the version of the operating system, and we'll team up to get it running again.
[apple_03287] Cust: in addition to 11.1.2 burning through my battery, it appears to also be burning through my data. Now I’m getting charged. Please address! | Agent: We'd like to help you manage that data. Let's follow the steps in this article to figure out what's causing the problem:",Let's look into this further together. Please send us a Direct Message with your details so our team can assist: https://twitter.com/messages/compose?recipient_id=AppleSupport,4,4,4,4,4,4,Properly escalates thermal complaint to private DM though could emphasize disconnecting power.
gold_014,My worst fear came true... my iPhone alarm isn’t working and never went off this morning,Customer inbound tweet to @AppleSupport (Recorded: Wed Nov 22 15:25:00 +0000 2017),"[apple_00854] Cust: I️ most updated my phone, why isn’t my I️ working | Agent: We're here for you. Which version of iOS are you running in Settings > General > About? Is this happening in all apps?
[apple_00791] Cust: My alarm never went off this morning and I have no idea why help | Agent: We want you to be able to wake up on time. Is this the first time this happened?
[apple_01319] Cust: yet another head phone adapter isn’t working | Agent: We'd be happy to look into this issue with you. Send us a DM, and we'll continue there.",Let's look into this further together. Please send us a Direct Message with your details so our team can assist: https://twitter.com/messages/compose?recipient_id=AppleSupport,3,3,3,4,5,3,False escalation due to low confidence; harmless but sub-optimal deflection.
gold_017,Now I️ see I’m not the only one whose phone is acting up cuz dropped a new phone. They get on my nerves with that dumb shit.,Customer inbound tweet to @AppleSupport (Recorded: Wed Nov 01 12:55:53 +0000 2017),"[apple_03693] Cust: Ever since I updated my phone, it’s been acting up. I will sue you guys. | Agent: We want to help you out. Send us a DM and let us know what iPhone and version of iOS you are running.
[apple_02562] Cust: I updated my phone, and it’s still acting up while it’s plugged up😭 | Agent: Meet us in DM and fill us in in as much detail as possible on exactly what occurs with the screen touch issue when the iPhone is plugged in. Then from there we will get you taken care of!
[apple_04633] Cust: Fix these damn bugs! Got my phone acting dumb ! | Agent: What kind of issues are you having with the iPhone? We'd be happy to help.",Thanks for reaching out to Apple Support. How can we help you today? Please reply with more details about your device and question so we can assist.,3,3,3,4,4,3,Adequate response for unstructured customer frustration with dropped phone.
gold_024,Location details sent in DM !,Customer inbound tweet to @AppleSupport (Recorded: Wed Nov 01 17:25:00 +0000 2017),"[apple_03074] Cust: hi i've sent you a dm, very important | Agent: Hi there. We've received your DM. You'll see a reply from us there shortly.
[apple_03696] Cust: None of those options work. Sent you a DM with a screenshot. Please fix. Thanks. | Agent: Great we've received your DM and will continue working with you there.
[apple_00728] Cust: I just sent a dm about an accident on iTunes I need help removing the payment please. | Agent: This article can help: If you run into issues, reach out to iTunes billing here:",Thanks for reaching out to Apple Support. How can we help you today? Please reply with more details about your device and question so we can assist.,2,2,2,3,5,2,Misses conversational context where customer explicitly said details were already sent in DM.
gold_026,"please fix/help me with the podcast app. What happened to it?? No longer playing next episode, losing my place, can’t find the settings anymore. #help",Customer inbound tweet to @AppleSupport (Recorded: Wed Nov 01 15:22:24 +0000 2017),"[apple_01146] Cust: HOW DO I️ FIX THIS SOMEONE HELP | Agent: Let's dive into this issue together. Which iOS version is your device currently running?
[apple_03699] Cust: Is there any way to fix the Podcast app on iOS so it says the episode description not the podcast, for each one? :( | Agent: Thanks for reaching out. Episode information is something that is provided by the Podcast producer. Here is more information:
[apple_00981] Cust: Please fix your Podcast app! 🤬 #iOS11 | Agent: We can help with your Podcasts! Are you getting any error messages? What happens when you use the Podcast app?",Thanks for reaching out to Apple Support. How can we help you today? Please reply with more details about your device and question so we can assist.,3,2,2,3,5,2,Customer provided specific Podcast app issues; generic template reply is unhelpful.
gold_031,iPhone 8 plus and ios 11,Customer inbound tweet to @AppleSupport (Recorded: Wed Nov 01 16:21:00 +0000 2017),"[apple_04866] Cust: iphone 8 plus, ios 11.1.2 | Agent: We'll do everything we can to help resolve this issue. Have you tried a normal restart of the device? This simple step can resolve issues like this. This article explains how to do a normal restart:
[apple_02313] Cust: I am using an iPhone 8 Plus and iOS 11.1.2 | Agent: Got it, thanks. While automatic playback is expected is your vehicles firmware up to date? There might be additional settings there you can adjust. Let us know in a DM and we'll continue.
[apple_00517] Cust: I have the iPhone 7 Plus but i can’t do that 😢 | Agent: Thanks for reaching out. We are always happy to help. Are you running iOS 11.1? If not, learn how here:","We understand glitches are frustrating. Please back up your device and update to the latest iOS/macOS release. If the issue persists after restarting, send us a DM with your exact OS version.",3,3,3,4,5,3,Customer just provided device and OS info; template somewhat redundantly asks for OS version.
gold_041,I have rebooted the device but nothing has changed,Customer inbound tweet to @AppleSupport (Recorded: Thu Nov 23 00:29:50 +0000 2017),"[apple_03864] Cust: But I only have one device with me | Agent: The next step will be to request account recovery to regain access to your account. Here is how:
[apple_03911] Cust: Yes. It only got worse after I rebooted. | Agent: Understood! What happens when you remove the apps and create a new folder? Does this issue seem to persist? If so, follow up with us in DM.
[apple_03102] Cust: No it’s a different picture, but I’ve changed it more than once.. | Agent: Let's follow up in DM. We'll take a closer look there.",Thanks for reaching out to Apple Support. How can we help you today? Please reply with more details about your device and question so we can assist.,3,3,3,4,5,3,Follow-up fragment lacks context; asking for device and issue details is reasonable.
gold_043,"I don’t like the screen shot update. When I do a screen shot I simply want it saved to my phone, not all this extra editing. 👎",Customer inbound tweet to @AppleSupport (Recorded: Wed Nov 01 19:49:00 +0000 2017),"[apple_02911] Cust: Also the front camera seems to not work either now. Here is a screen shot | Agent: We'd like to keep working on this with you. DM us and we'll continue there.
[apple_00477] Cust: This is self explanatory screen shot of one of example of hanging | Agent: Let's see if updating the iPhone to iOS 11.1 helps. DM us if it doesn't.
[apple_03492] Cust: It reset itself after a few seconds. It was long enough to notice a take the screen shot. Just odd and not like apple to miss something like that. | Agent: When it reset itself, did the battery percentage match? Let us know.","We'd like to help with your device. Try restarting, verify battery health in Settings > Battery, and inspect ports for debris. Visit https://support.apple.com for repair options or DM us.",2,1,1,2,4,1,"Severe failure: classifies screenshot UI feedback as hardware defect, advising port cleaning."
